Date,City,Temperature,WindSpeed(hpa),Description
2019-07-30,Wembley,15,1017.28,Light rain
2019-07-31,Wembley,17.9,1014.75,Moderate rain
2019-08-01,Wembley,17.8,1014.77,Heavy intensity rain
2019-08-02,Wembley,24.4,1014.26,Rain
2019-07-30,Tokyo,29.6,1000.47,Moderate rain
2019-07-31,Tokyo,25.1,1004.45,Light rain
2019-08-01,Tokyo,22.3,999.28,Heavy intensity rain
2019-08-02,Tokyo,23.3,1003.97,Light rain
2019-07-30,Los Angeles,17.7,1015.04,Sky is clear
2019-07-31,Los Angeles,22.6,1015.4,Sky is clear
2019-08-01,Los Angeles,25.4,1014.54,Sky is clear
2019-08-02,Los Angeles,24.4,1014.65,Few clouds
